SAMPLE_N,5hmC_ID,5mC_ID
SAMPLE_0393,lung-P01LA495,lung-M202-P01LA495
SAMPLE_0394,lung-P01LA496,lung-M183-P01LA496
SAMPLE_0395,lung-P01LA497,lung-M174-P01LA497
SAMPLE_0396,lung-P01LA498,lung-M65-P01LA498
SAMPLE_0397,lung-P01LA499,lung-M44-P01LA499
SAMPLE_0398,lung-P01LA500,lung-M220-P01LA500
SAMPLE_0399,lung-P01LA501,lung-M192-P01LA501
SAMPLE_0400,lung-P01LA503,lung-M216-P01LA503
SAMPLE_0401,lung-P01LA504,lung-M62-P01LA504
SAMPLE_0402,lung-P01LA506,lung-M223-P01LA506
SAMPLE_0403,lung-P01LA507,lung-M168-P01LA507
SAMPLE_0404,lung-P01LA508,lung-M231-P01LA508
SAMPLE_0405,lung-P01LA509,lung-M63-P01LA509
SAMPLE_0406,lung-P01LA510,lung-M39-P01LA510
SAMPLE_0407,lung-P01LA511,lung-M220-P01LA511
SAMPLE_0408,lung-P01LA512,lung-M64-P01LA512
SAMPLE_0409,lung-P01LA516,lung-M159-P01LA516
SAMPLE_0410,lung-P01LA517,lung-M55-P01LA517
SAMPLE_0411,lung-P01LA518,lung-M199-P01LA518
SAMPLE_0412,lung-P01LA519,lung-M68-P01LA519
SAMPLE_0413,lung-P01LA520,lung-M64-P01LA520
SAMPLE_0414,lung-P01LA521,lung-M44-P01LA521
SAMPLE_0415,lung-P01LA522,lung-M64-P01LA522
SAMPLE_0416,lung-P01LA524,lung-M235-P01LA524
SAMPLE_0417,lung-P01LA525,lung-M104-P01LA525
SAMPLE_0418,lung-P01LA526,lung-M69-P01LA526
SAMPLE_0419,lung-P01LA527,lung-M42-P01LA527
SAMPLE_0420,lung-P01LA529,lung-M45-P01LA529
SAMPLE_0421,lung-P01LA530,lung-M53-P01LA530
SAMPLE_0422,lung-P01LA531,lung-M39-P01LA531
SAMPLE_0423,lung-P01LA532,lung-M217-P01LA532
SAMPLE_0424,lung-P01LA533,lung-M54-P01LA533
SAMPLE_0425,lung-P01LA534,lung-M65-P01LA534
SAMPLE_0426,lung-P01LA535,lung-M27-P01LA535
SAMPLE_0427,lung-P01LA536,lung-M105-P01LA536
SAMPLE_0428,lung-P01LA537,lung-M18-P01LA537
SAMPLE_0429,lung-P01LA539,lung-M10-P01LA539
SAMPLE_0430,lung-P01LA540,lung-M12-P01LA540
SAMPLE_0431,lung-P01LA541,lung-M2-P01LA541
SAMPLE_0432,lung-P01LA542,lung-M45-P01LA542
SAMPLE_0433,lung-P01LA543,lung-M1-P01LA543
SAMPLE_0434,lung-P01LA544,lung-M157-P01LA544
SAMPLE_0435,lung-P01LA545,lung-M71-P01LA545
SAMPLE_0436,lung-P01LA551,lung-M42-P01LA551
SAMPLE_0437,lung-P01LA552,lung-M40-P01LA552
SAMPLE_0438,lung-P01LA554,lung-M1-P01LA554
SAMPLE_0439,lung-P01LA556,lung-M1-P01LA556
SAMPLE_0440,lung-P01LA557,lung-M17-P01LA557
SAMPLE_0441,lung-P01LA558,lung-M54-P01LA558
SAMPLE_0442,lung-P01LA559,lung-M3-P01LA559
SAMPLE_0443,lung-P01LA560,lung-M160-P01LA560
SAMPLE_0444,lung-P01LA563,lung-M167-P01LA563
SAMPLE_0445,lung-P01LA564,lung-M159-P01LA564
SAMPLE_0446,lung-P01LA566,lung-M211-P01LA566
SAMPLE_0447,lung-P01LA567,lung-M65-P01LA567
SAMPLE_0448,lung-P01LA568,lung-M251-P01LA568
SAMPLE_0449,lung-P01LA569,lung-M162-P01LA569
SAMPLE_0450,lung-P01LA570,lung-M59-P01LA570
SAMPLE_0451,lung-P01LA571,lung-M1-P01LA571
SAMPLE_0452,lung-P01LA572,lung-M306-P01LA572
SAMPLE_0453,lung-P01LA573,lung-M168-P01LA573
SAMPLE_0454,lung-P01LA576,lung-M3-P01LA576
SAMPLE_0455,lung-P01LA577,lung-M48-P01LA577
SAMPLE_0456,lung-P01LA580,lung-M14-P01LA580
SAMPLE_0457,lung-P01LA582,lung-M2-P01LA582
SAMPLE_0458,lung-P01LA583,lung-M13-P01LA583
SAMPLE_0459,lung-P01LA584,lung-M27-P01LA584
SAMPLE_0460,lung-P01LA588,lung-M160-P01LA588
SAMPLE_0461,lung-P01LA591,lung-M11-P01LA591
SAMPLE_0462,lung-P01LA592,lung-M16-P01LA592
SAMPLE_0463,lung-P01LA593,lung-M39-P01LA593
SAMPLE_0464,lung-P01LA594,lung-M13-P01LA594
SAMPLE_0465,lung-P01LA595,lung-M2-P01LA595
SAMPLE_0466,lung-P01LA596,lung-M61-P01LA596
SAMPLE_0467,lung-P01LA597,lung-M194-P01LA597
SAMPLE_0468,lung-P01LA598,lung-M36-P01LA598
SAMPLE_0469,lung-P01LA600,lung-M19-P01LA600
SAMPLE_0470,lung-P01LA601,lung-M19-P01LA601
SAMPLE_0471,lung-P01LA602,lung-M4-P01LA602
SAMPLE_0472,lung-P01LA603,lung-M3-P01LA603
SAMPLE_0473,lung-P01LA608,lung-M2-P01LA608
SAMPLE_0474,lung-P01LA609,lung-M44-P01LA609
SAMPLE_0475,lung-P01LA612,lung-M26-P01LA612
SAMPLE_0476,lung-P01LA614,lung-M60-P01LA614
SAMPLE_0477,lung-P01LA616,lung-M34-P01LA616
SAMPLE_0478,lung-P01LA617,lung-M46-P01LA617
SAMPLE_0479,lung-P01LA618,lung-M34-P01LA618
SAMPLE_0480,lung-P01LA619,lung-M36-P01LA619
SAMPLE_0481,lung-P01LA620,lung-M17-P01LA620
SAMPLE_0482,lung-P01LA621,lung-M167-P01LA621
SAMPLE_0483,lung-P01LA622,lung-M7-P01LA622
SAMPLE_0484,lung-P01LA623,lung-M19-P01LA623
SAMPLE_0485,lung-P01LA624,lung-M23-P01LA624
SAMPLE_0486,lung-P01LA625,lung-M211-P01LA625
SAMPLE_0487,lung-P01LA627,lung-M160-P01LA627
SAMPLE_0488,lung-P01LA628,lung-M14-P01LA628
SAMPLE_0489,lung-P01LA629,lung-M61-P01LA629
SAMPLE_0490,lung-P01LA631,lung-M15-P01LA631
SAMPLE_0491,lung-P01LA632,lung-M28-P01LA632
SAMPLE_0492,lung-P01LA633,lung-M46-P01LA633
SAMPLE_0493,lung-P01LA636,lung-M233-P01LA636
SAMPLE_0494,lung-P01LA638,lung-M167-P01LA638
SAMPLE_0495,lung-P01LA639,lung-M2-P01LA639
SAMPLE_0496,lung-P01LA640,lung-M41-P01LA640
SAMPLE_0497,lung-P01LA641,lung-M8-P01LA641
SAMPLE_0498,lung-P01LA642,lung-M223-P01LA642
SAMPLE_0499,lung-P01LA643,lung-M168-P01LA643
SAMPLE_0500,lung-P01LA645,lung-M235-P01LA645
SAMPLE_0501,lung-P01LA646,lung-M41-P01LA646
SAMPLE_0502,lung-P01LA647,lung-M160-P01LA647
SAMPLE_0503,lung-P01LA653,lung-M169-P01LA653
